clade	nGenomes	nCoreOrthogroups	nAccOrthogroups	avnOrthogroups	avnGenes	sdnOrthogroups	sdnGenes	mostAbunSpecies	Abundance
Plantarum group	304	2172	5833	2923.7763157894738	3109.9769736842104	106.7554929677674	160.6776577469998	plantarum	0.9144736842105263
clade 1	4	2752	780	3133.5	3428.5	88.38363347739596	129.81140165640304	isolate	0.75
clade 2	2	2738	373	2924.5	3222	88.38834764831844	158.39191898578665	fabifermentans	1
clade 3	1	2456	0	2456	2651	NA	NA	xiangfangensis	1
clade 4	1	2560	0	2560	2722	NA	NA	herbarum	1
clade 5a	2	2646	447	2869.5	2996.5	12.020815280171307	17.67766952966369	pentosus	0.5
clade 5b	12	2480	1656	3126.5833333333335	3404.4166666666665	71.56365041420162	123.94313823343154	pentosus	1
clade 6	7	2362	1272	2868.714285714286	3037.4285714285716	116.32241728018191	180.9003935345426	paraplantarum	0.7142857142857143
clade 7	275	2333	4329	2916.690909090909	3097.4327272727273	90.06738611251768	140.9436588974855	plantarum	1
